,A1-A3,A4,C2,C3 / C4,C2 to C4,D,Total A1-A5w,Total A-C,Typology,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Building Use,Building Height,Storeys,Concrete Mix,Has Basement,Has Transfer Deck,Cladding Type,Grid_X,Grid_Y
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,443520.0,0.0,0.0,,Education,0.0,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
6,647.66686560576,44.860042639359996,1.4109885286411201,3.644878464448,5.05586699308912,0.0,729.4987953327452,734.5546623258343,Non-Composite Rolled Steel with PCC Planks,11818895.8492,443520.0,280375.266496,0.0,,Education,0.0,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
7,86291.802025649,7277.81419436137,1575.2533927090988,4071.8767466329473,5647.130139342047,-17087.08704779027,96338.84640355695,101985.97654289898,Composite Rolled Steel with Metal Decking,284148877.4165,443520.0,341924781.7805161,1989.042141915455,221.69888290375275,Education,91.3664,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
8,95645.14395544873,8507.859948760255,1631.3336233833993,4217.118186142612,5848.45180952601,-19873.39893387878,107075.67797370972,112924.12978323574,Composite Cell Beams with Metal Decking,337152435.124,443520.0,353160142.4061713,2360.067045867985,246.74365309248222,Education,93.95424,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
9,75236.92101687628,11661.39482529337,1064.2082710361226,48184.77618860946,49248.98445964559,-29097.850868724287,89222.02642331412,93288.25858938174,Steel Frame with CLT Slabs,312009464.0677,443520.0,238397344.3602225,2184.0662484742206,206.09238066330343,Education,92.0048,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
10,58309.437126735094,11356.790167217636,1210.351241573145,96333.30550264161,97543.65674421472,-30702.512118100483,72494.48312440947,77345.93026862424,"CLT, Glulam and Steel Column Hybrid",290289029.9403,443520.0,268170830.5913449,2032.023209582251,168.03415028407224,Education,109.44,16,C32/40 - 25% GGBS,No,Yes,Timber Cladding,11,11
0,6502.381503837105,591.6259368758609,357.2747025176609,922.9966127830118,1280.2713153006728,1327.4826325150655,7529.5115252816,8809.78284058227,RC Flat Slab,24197576.5207,47520.0,100524726.60081038,169.38303564478014,162.01377443026894,Healthcare,74.75999999999999,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
1,5457.311286553097,526.2117065758642,315.3902707179801,814.8003657098178,1130.190636427798,1031.9145910492755,6352.409429190859,7482.600065618657,PT RC Flat Slab,25764373.7403,47520.0,91520555.79560354,180.35061618213246,137.47390667872455,Healthcare,74.13,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
2,5346.010301814536,509.09532461025407,288.99211517396634,746.6084090139057,1035.6005241878722,1117.8206564052607,6212.139737436048,7247.740261623918,RC Rib Slab,24865609.7856,47520.0,86391695.89450651,174.05926849889303,134.38970972085312,Healthcare,77.35,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
3,6098.573318213423,539.3478359141025,291.00813562641986,751.8162114742926,1042.8243471007127,1481.2632339255233,7036.823386884228,8079.647733984939,Two-way RC Slab,23273883.5249,47520.0,86806341.0378955,162.91718467415527,151.5096921624239,Healthcare,77.7,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
4,5666.44917565704,527.6852832050297,301.23514867445,778.2347250608581,1079.469873735308,1211.655680340179,6571.464816076634,7650.934689811942,One-Way Spanning RC,23760005.1076,47520.0,88815126.13382751,166.32003575300902,141.78840176409182,Healthcare,77.7,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
5,7111.796037509144,544.1433096339622,328.9175419254793,849.744136340218,1178.661678265697,1100.761671333547,8007.876966851042,9186.53864511674,Precast Hollowcore with In-situ RC Beams,24312611.0996,47520.0,94217901.45454043,170.18827769722625,172.09733258729523,Healthcare,75.6,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
6,7618.131277210255,767.9459934430046,267.7549012800416,691.8533375217602,959.6082388018018,-352.54837623893405,8645.839997077821,9605.448235879623,Non-Composite Rolled Steel with PCC Planks,31196080.8446,47520.0,81446154.47415097,218.37256591243687,186.53645965888592,Healthcare,80.66799999999999,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
7,7312.973833984638,775.2997367381356,227.191151985982,587.1040384410536,814.2951904270359,-1024.3818660553495,8363.62248714031,9177.917677567346,Composite Rolled Steel with Metal Decking,31018260.4993,47520.0,73471229.53898486,217.12782349506685,180.57134492077813,Healthcare,79.2876,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
8,7760.56858194419,836.4120550663932,227.00638114596137,586.6462788151182,813.6526599610798,-1165.959070353222,8877.440634441853,9691.093294402935,Composite Cell Beams with Metal Decking,33454321.7575,47520.0,73422556.70960805,234.18025230246246,191.74286377828946,Healthcare,77.41608000000001,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
9,6228.42617355166,1101.5273649731128,171.19145823312698,4543.0455435562735,4714.237001789402,-1887.4162360782484,7584.6844926163385,8220.888466882803,Steel Frame with CLT Slabs,30864341.5368,47520.0,62252071.734392226,216.05039075780218,164.15687885888343,Healthcare,79.6474,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
10,5695.393806842921,1188.3242298010255,184.91366208013392,7758.9033748027105,7943.817036882848,-2285.5102632430435,7172.584254895358,7875.405067778203,"CLT, Glulam and Steel Column Hybrid",34786479.3186,47520.0,65037178.354196064,243.50535523034435,156.06249179557454,Healthcare,82.32,14,C32/40 - 75% GGBS,Yes,No,Curtain Walling,6,6
0,46771.29013943571,2095.835031188084,1632.1885625581417,4216.658228812206,5848.846791370348,5901.303996347944,51760.500504777185,57609.34729614756,RC Flat Slab,83836706.0328,189280.0,347641804.1923292,586.8569422294124,276.56042607252004,Office,66.56,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
1,38009.638972952685,1704.7756279983778,1366.4663753006816,3530.2422458321803,4896.7086211328615,4355.416776407351,42073.54349992581,46970.25212105866,PT RC Flat Slab,95260756.4317,189280.0,290196946.29196036,666.8252950220834,225.80499152022344,Office,65.585,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,189280.0,0.0,0.0,,Office,0.0,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,189280.0,0.0,0.0,,Office,0.0,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,189280.0,0.0,0.0,,Office,0.0,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
5,34438.414660458504,1415.6789626655634,1145.5770647307002,2959.6389597100238,4105.216024440724,3477.5074192050074,37444.43510543527,41549.65112987601,Precast Hollowcore with In-situ RC Beams,71614111.635,189280.0,243245303.2522178,501.29878144480097,200.47408012933255,Office,69.22500000000001,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
6,38514.18395652563,2764.2503029518375,964.4684707484033,2492.3385730523664,3456.80704380077,-3144.756220156015,42350.887055032494,45807.69409883326,Non-Composite Rolled Steel with PCC Planks,112080475.2288,189280.0,207281672.8741764,784.5633266014497,227.89227800947774,Office,77.03670000000001,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
7,33156.56420320432,2692.8564597328555,605.3177253719422,1564.759615829516,2170.0773412014573,-6513.471042108132,36917.30075054838,39087.37809174985,Composite Rolled Steel with Metal Decking,110233063.8024,189280.0,134809885.76246804,771.6314466169216,199.117350999394,Office,72.40740000000001,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
8,37384.9146784358,3257.1888337870196,627.7958118420481,1622.9980968613017,2250.7939087033496,-7811.646483654405,41775.2308984353,44026.024807138645,Composite Cell Beams with Metal Decking,133631829.2417,189280.0,139315200.11141983,935.422804692031,225.64800139014864,Office,73.69518,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
9,28383.813833098815,4741.221773748437,367.1989617498343,21631.644658270245,21998.84362002009,-12180.97018207212,33982.42745393323,35413.23029923366,Steel Frame with CLT Slabs,122894004.4729,189280.0,85604910.87298122,860.2580313104282,184.08012196345973,Office,72.9937,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
10,21089.513958054682,4576.269944556971,406.05682246165617,40393.67900202832,40799.735824489966,-12825.841667615712,26684.936394544147,28357.143924634136,"CLT, Glulam and Steel Column Hybrid",113568060.396,189280.0,93510971.84313825,794.9764227717269,145.18128073391736,Office,82.68,13,C32/40 - 25% GGBS,No,No,Curtain Walling,10,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,229320.0,0.0,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,229320.0,,,,Healthcare,,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,229320.0,,,,Healthcare,,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
8,,,,,,,,,Composite Cell Beams with Metal Decking,,229320.0,,,,Healthcare,,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
9,452.53373557392,31.34432800512,0.9858770667860401,2.5467266504159998,3.53260371720204,0.0,509.7108289457409,513.243432662943,Steel Frame with CLT Slabs,6931918.6934,229320.0,195902.050032,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
10,75.28779209951999,5.2147388467199995,0.16401983278824,0.42369753129599996,0.58771736408424,0.0,84.8003141066872,85.38803147077142,"CLT, Glulam and Steel Column Hybrid",,229320.0,32592.117791999997,0.0,,Healthcare,0.0,26,C32/40 - 75% GGBS,No,Yes,Lightweight Cladding,9,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,92340.0,0.0,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
6,157.87793239217999,10.935268044479999,0.343948352711535,0.8884905286139999,1.2324388813255347,0.0,177.82561932051325,179.05805820183878,Non-Composite Rolled Steel with PCC Planks,2881022.5425,92340.0,68345.425278,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
7,145.77486954030002,10.0969606608,0.31758096578422507,0.82037805369,1.137959019474225,0.0,164.19334902979045,165.3313080492647,Composite Rolled Steel with Metal Decking,,92340.0,63106.00413,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
8,146.0566710603,10.1164793808,0.318194890524225,0.82196394969,1.1401588402142249,0.0,164.51075583300965,165.6509146732239,Composite Cell Beams with Metal Decking,,92340.0,63227.99613,0.0,,Office,0.0,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
9,,,,,,,,,Steel Frame with CLT Slabs,,92340.0,,,,Office,98.26170000000002,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,92340.0,,,,Office,106.08,17,C32/40 - CEM I (OPC),Yes,No,Lightweight Cladding,9,9
0,11038.336904285845,626.8982100770947,482.1502133413401,1245.704338870149,1727.8545522114891,1781.3477656325308,12372.895664023514,14100.750216235001,RC Flat Slab,33086529.6821,97920.0,103523659.3061724,231.60570777444147,128.72244047996278,Residential,54.900000000000006,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
1,9251.943957174051,538.6255146435152,430.4719683715774,1112.2086240948058,1542.6805924663836,1285.5015685170736,10389.155073800619,11931.835666267008,PT RC Flat Slab,35301678.6395,97920.0,92912650.830158,247.11175047648788,108.62200596688221,Residential,54.480000000000004,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
2,8756.972921024688,509.1214027686606,396.8693012020144,1025.4059071143151,1422.2752083163296,1307.4116104165348,9830.507293043416,11252.782501359748,RC Rib Slab,34134639.6117,97920.0,86214133.43363468,238.94247728159576,102.83343311197929,Residential,57.0,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
3,9263.401729645622,523.0788756615593,373.8198493079879,965.8643522961643,1339.6842016041521,1759.409615407538,10374.092604154579,11713.776805758731,Two-way RC Slab,27486144.3855,97920.0,81648611.99737608,192.40301069832694,107.90947319089977,Residential,56.7,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
4,8997.685495883241,519.732405251438,400.13697391123986,1033.8469891252305,1433.9839630364704,1404.756415770562,10095.771378917767,11529.755341954236,One-Way Spanning RC,30511078.9692,97920.0,86864174.03997892,213.57755278467974,105.28338369794164,Residential,57.900000000000006,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
5,12727.42480411184,614.1688418826868,492.1795243359629,1271.6121467052403,1763.7916710412035,1499.9555742621428,13921.129173003177,15684.92084404438,Precast Hollowcore with In-situ RC Beams,35336595.1998,97920.0,105499574.94062898,247.35616639892424,144.69449897265218,Residential,56.099999999999994,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
6,11750.082933393236,842.3671008960425,365.44471220744884,944.3644876141957,1309.8091998216448,-614.5770513307241,12953.522665330262,14263.331865151908,Non-Composite Rolled Steel with PCC Planks,43162650.1874,97920.0,79867554.23426065,302.1385513120348,135.3723571961019,Residential,59.7792,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
7,12120.11949451374,925.5738825042072,308.1758660515409,796.5128875994508,1104.6887536509914,-2072.909911514135,13483.094971864632,14587.783725515625,Composite Rolled Steel with Metal Decking,44325107.4791,97920.0,68533987.26064934,310.2757523538834,140.8636716117087,Residential,59.15520000000001,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
8,13210.558986751352,1076.442164170008,310.10455169188884,801.542748717529,1111.647300409418,-2421.245714400024,14737.34817756964,15848.995477979055,Composite Cell Beams with Metal Decking,49940512.2748,97920.0,68899101.48921008,349.583585923727,154.07405804221168,Residential,56.09711999999999,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
9,8139.872182168924,1447.698185915984,181.53751004925715,8768.175243353588,8949.712753402842,-3530.417692763673,9921.89246058422,10618.443134476362,Steel Frame with CLT Slabs,40482485.5026,97920.0,42645004.134703085,283.37739851819816,104.22048467220607,Residential,58.058400000000006,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
10,7642.240230947126,1625.8909386978519,188.41152481023622,13390.771579043349,13579.183103853586,-4311.956847688434,9642.027066124963,10388.492249978553,"CLT, Glulam and Steel Column Hybrid",42058728.3719,97920.0,44022603.08237511,294.4110986035788,101.47506295678659,Residential,59.46,12,C32/40 - 50% GGBS,No,Yes,Curtain Walling,6,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,602800,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,0,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,290400.0,0.0,0.0,,Healthcare,0.0,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,290400.0,,,,Healthcare,,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
7,,,,,,,,,Composite Rolled Steel with Metal Decking,,290400.0,,,,Healthcare,,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
8,,,,,,,,,Composite Cell Beams with Metal Decking,,290400.0,,,,Healthcare,,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
9,,,,,,,,,Steel Frame with CLT Slabs,,290400.0,,,,Healthcare,200.739,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
10,,,,,,,,,"CLT, Glulam and Steel Column Hybrid",,290400.0,,,,Healthcare,234.95999999999998,33,C32/40 - CEM I (OPC),No,Yes,Curtain Walling,10,10
0,17330.074955983655,2413.3065351350024,828.0478873604991,2139.8064988397928,2967.8543862002907,2345.8101525307766,20869.65580712372,23837.510193324015,RC Flat Slab,57366395.2979,61200.0,438924835.078949,401.56476708538025,347.5689636308676,Office,5.12,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
1,15880.295413844866,2338.03124269181,776.5274821142399,2006.7185170809505,2783.2459991951896,2022.5352001283854,19254.116743601706,22037.3627427969,PT RC Flat Slab,57466984.1927,61200.0,428234036.2468762,402.2688893487736,321.1827717802366,Office,4.995,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
2,15726.014838022907,2327.3040664963246,754.462407828548,1949.7198154984385,2704.1822233269854,2125.1170368939024,19076.08302169224,21780.265245019225,RC Rib Slab,56168999.4595,61200.0,424169049.18089604,393.1829962161605,318.1252617305294,Office,5.675000000000001,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
3,16872.296486070907,2376.600765722824,765.7140664846888,1978.7852029857372,2744.4992694704256,2624.2729311752823,20337.16382481789,23081.663094288317,Two-way RC Slab,56696267.6582,61200.0,426404848.2183806,396.87387360749824,338.7914656605456,Office,5.5,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
4,16275.612142517992,2356.945863022346,787.1959516431507,2034.2774050840983,2821.4733567272474,2138.603403178663,19692.32840405176,22513.801760779017,One-Way Spanning RC,55350265.4785,61200.0,430353950.7086568,387.4518583494579,328.1009846797585,Office,5.7250000000000005,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
5,16265.04310728292,2318.456506384444,757.9597873938326,1958.7542783595807,2716.7140657534123,1960.8507073880223,19550.421905593827,22267.13597134724,Precast Hollowcore with In-situ RC Beams,55649921.7978,61200.0,424997741.19585574,389.54945258489823,325.8165254604367,Office,5.25,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
6,16648.343000059176,2425.520846528184,737.9307564064043,1907.0607715248923,2644.991527931296,1356.3196798630365,19995.12814617883,22640.119674110127,Non-Composite Rolled Steel with PCC Planks,58898899.8113,61200.0,421030291.2934932,412.29229867944144,333.4545824323247,Office,5.8657,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
7,16176.712126321469,2449.60156902058,692.1145383768657,1788.7465118267303,2480.861050203596,718.7885633019993,19551.770916380006,22032.631966583605,Composite Rolled Steel with Metal Decking,58512496.5507,61200.0,411334460.754491,409.58747585487237,326.1659868012235,Office,5.562200000000001,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
8,16851.567545261125,2540.9806627911435,695.2481504072437,1796.8694506281226,2492.117601035366,505.70512532423385,20327.76584005732,22819.88344109269,Composite Cell Beams with Metal Decking,62219412.4244,61200.0,411959302.2007519,435.5358869708342,339.2696360625515,Office,5.66886,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
9,15391.578899861772,2756.3322120057155,635.6390430709462,4986.4168083489885,5622.055851419936,-176.30486645380236,19036.10557454764,21333.023811288676,Steel Frame with CLT Slabs,62222672.2189,61200.0,399317883.3521807,435.5587055326441,318.1644490209197,Office,5.6149000000000004,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
10,14381.887153576983,2765.4954609735614,636.157293680578,7875.664057249135,8511.821350929713,-400.225039463918,18052.821531258476,20367.420722188188,"CLT, Glulam and Steel Column Hybrid",64961875.3618,61200.0,399427695.82650375,454.733127532705,302.4110238364572,Office,6.24,1,C32/40 - 50% GGBS,Yes,No,Curtain Walling,10,10
0,4319.811216375993,424.41733210552354,166.32541329697764,429.77902831925934,596.104441616237,411.68106514035975,5014.659283883303,5610.76372549954,RC Flat Slab,10493374.2046,9792.0,77729650.02596983,73.45361943204796,519.6193732960938,Healthcare,5.62,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
1,4140.510633229757,416.7124571314183,164.46501484969104,424.9732300450961,589.4382448947872,336.9763856137543,4817.397906086715,5406.8361509815,PT RC Flat Slab,10027267.1945,9792.0,77329224.61179638,70.19087036164701,499.14101066670366,Healthcare,5.425,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
2,4136.72860905562,416.5709176617357,164.35270452477084,424.68310898718016,589.0358135119509,336.2803146543698,4813.244183853775,5402.279997365726,RC Rib Slab,10286341.0488,9792.0,77310028.70825875,72.00438734147477,498.902019117162,Healthcare,5.925,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
3,4137.141404453803,416.58814786874757,164.3675684240913,424.7215055477696,589.0890739718608,336.32491903798984,4813.69982362042,5402.788897592281,Two-way RC Slab,9953220.1994,9792.0,77312982.28984255,69.67254139567386,498.7104130939638,Healthcare,6.074999999999999,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
4,4136.796691629973,416.5737594493505,164.35515603594348,424.68944175324964,589.044597789193,336.28767128014044,4813.319332773621,5402.363930562814,One-Way Spanning RC,10018249.6669,9792.0,77310515.84411022,70.12774766797895,498.7180433457516,Healthcare,5.95,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
5,4137.022486798811,416.58338034363146,164.34749370477982,424.66964834934936,589.0171420541292,336.50220215771054,4813.565770734127,5402.582912788256,Precast Hollowcore with In-situ RC Beams,9979631.7194,9792.0,77308993.27457944,69.85742203566718,498.7156038367845,Healthcare,5.575,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
6,4154.7782431413825,419.7650938491629,164.15445157032715,424.17197510227857,588.3264266726056,325.39037269927843,4834.46537603959,5422.791802712196,Non-Composite Rolled Steel with PCC Planks,10196127.4171,9792.0,77270710.71711245,71.37289191946198,501.00472507751766,Healthcare,6.0324,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
7,4107.708248659812,417.2912661029186,162.2343394488071,419.21173492110404,581.446074369911,326.52958326702503,4782.147177536431,5363.593251906341,Composite Rolled Steel with Metal Decking,10212401.926,9792.0,76871170.2938605,71.48681348212752,495.6734059455227,Healthcare,5.7395,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
8,4107.93722579158,417.3062121812858,162.23596145127132,419.2159248926956,581.4518863439669,326.53317075622465,4782.404336711328,5363.856223055293,Composite Cell Beams with Metal Decking,10216076.9124,9792.0,76871492.59936754,71.5125383870793,495.7022952510628,Healthcare,5.752098102459961,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
9,4104.341568303324,417.18652954296215,162.0707103114319,418.78903575729316,580.8597460687249,325.9532272203694,4778.472289676634,5359.3320357453595,Steel Frame with CLT Slabs,11334568.4283,9792.0,76840636.6249435,79.3419789978107,496.10031338587066,Healthcare,5.9948999999999995,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
10,4098.984504961417,416.7319850953138,162.17224354954698,419.05131734606545,581.2235608956123,326.3517228271449,4772.3713895884985,5353.59495048411,"CLT, Glulam and Steel Column Hybrid",10867345.0794,9792.0,76862793.78314829,76.07141555596495,495.14326032929574,Healthcare,6.359999999999999,1,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,6,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Flat Slab,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT RC Flat Slab,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RC Rib Slab,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Two-way RC Slab,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,One-Way Spanning RC,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precast Hollowcore with In-situ RC Beams,,317440.0,0.0,0.0,,Office,0.0,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
6,,,,,,,,,Non-Composite Rolled Steel with PCC Planks,,317440.0,,,,Office,,30,C32/40 - 25% GGBS,Yes,Yes,Cavity Wall,8,8
